Data,Total
1075334400,8005
1074729600,8053
1074124800,8649
1073520000,8684
1072828800,8181
1072224000,8031
1071619200,8085
1071014400,7977
1070409600,7680
1069804800,7444
1069200000,7598
1068595200,7496
1067990400,7139
1067385600,6822
1066780800,6650
1066176000,6551
1065571200,6230
1064966400,6473
1064361600,6612
1063756800,6198
1063152000,6268
1062547200,6564
1061942400,7003
1061337600,8774
1060732800,8654
1060128000,7777
1059523200,7188
1058918400,6855
1058313600,7120
1057708800,6650
1057104000,7363
1056499200,7727
1055894400,7690
1055289600,6805
1054684800,6914
1054080000,6750
1053475200,6887
1052870400,6690
1052265600,6899
1051660800,7062
1051056000,7061
1050451200,7194
1049846400,7077
1049241600,7206
1048636800,7164
1048032000,7207
1047427200,7559
1046822400,7694
1046217600,8005
1045612800,7658
1045008000,8127
1044403200,8051
1043798400,8248
1043193600,8410
1042588800,7673
1041984000,7783
1041292800,7438
1040688000,7497
1040083200,7453
1039478400,7222
1038873600,7133
1038268800,6699
1037664000,6790
1037059200,6682
1036454400,6615
1035849600,6646
1035244800,6611
1034640000,6390
1034035200,6267
1033430400,6180
1032825600,6220
1032220800,6034
1031616000,6042
1031011200,6044
1030406400,6043
1029801600,6116
1029196800,6068
1028592000,6477
1027987200,6525
1027382400,6504
1026777600,6217
1026172800,6470
1025568000,6698
1024963200,6981
1024358400,6802
1023753600,6270
1023148800,6385
1022544000,6562
1021939200,6617
1021334400,6466
1020729600,6629
1020124800,6999
1019520000,6995
1018915200,7029
1018310400,7205
1017705600,6847
1017100800,7442
1016496000,7545
1015891200,7821
1015286400,7874
1014681600,8079
1014076800,8186
1013472000,8518
1012867200,8845
1012262400,8798
1011657600,8968
1011052800,9076
1010448000,9120
1009756800,8716
1009152000,8002
1008547200,7551
1007942400,7327
1007337600,7351
1006732800,7275
1006128000,7319
1005523200,6634
1004918400,6411
1004313600,6516
1003708800,6356
1003104000,6395
1002499200,6436
1001894400,6172
1001289600,6058
1000684800,6020
1000080000,6147
999475200,6299
998870400,6544
998265600,6546
997660800,6796
997056000,7179
996451200,6380
995846400,6129
995241600,6474
994636800,6763
994032000,6951
993427200,6539
992822400,6256
992217600,6560
991612800,7196
991008000,6752
990403200,6763
989798400,6769
989193600,6665
988588800,6796
987984000,6654
987379200,6629
986774400,6714
986169600,6591
985564800,6784
984960000,6829
984355200,7431
983750400,7425
983145600,7141
982540800,7239
981936000,7147
981331200,7359
980726400,7435
980121600,7138
979516800,7281
978912000,7465
978134400,7206
977529600,6969
976924800,6779
976320000,6624
975715200,6833
975110400,6949
974505600,6795
973900800,6742
973296000,6342
972691200,6614
972086400,6603
971481600,6382
970876800,6260
970272000,5899
969667200,5693
969062400,6077
968457600,5964
967852800,6056
967248000,6119
966643200,6489
966038400,6200
965433600,6355
964828800,6152
964224000,6359
963619200,6071
963014400,6385
962409600,6309
961804800,6324
961200000,6538
960595200,6147
959990400,6630
959385600,6052
958780800,6392
958176000,6305
957571200,6627
956966400,6553
956361600,6793
955756800,7011
955152000,6793
954547200,6846
953942400,6566
953337600,6647
952732800,6918
952128000,7014
951523200,7219
950918400,7514
950313600,7858
949708800,8759
949104000,9426
948499200,9626
947894400,9875
947289600,9414
